Date, Name , Memo , Barclays 53895114 , Vat , Net , Purchase / Direct Cost ,,,,,,,,,,,,,,,,,,,,,,,,,
11-Nov-22,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM FT," 50,000.00 "," 8,333.33 "," 41,666.67 "," 41,666.67 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
16-Jan-23,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM FT," 25,000.00 "," 4,166.67 "," 20,833.33 "," 20,833.33 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
21-Feb-23,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM BBP," 31,137.07 "," 5,189.51 "," 25,947.56 "," 25,947.56 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
3-Apr-23,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM FT," 25,000.00 "," 4,166.67 "," 20,833.33 "," 20,833.33 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
25-Apr-23,FIRST4FREELANCERS LIMITED,FIRST4FREELANCERS     GUARDIANFM FT," 8,410.16 "," 1,401.69 "," 7,008.47 "," 7,008.47 ", FIRST4FREELANCERS LIMITED ,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-22,IMPAX SECURITY SERVICES LTD,IMPAX SECURITY SER    AS INVOICED BBP," 4,500.00 ", 750.00 ," 3,750.00 "," 3,750.00 ", Impax Security Services Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
24-Oct-22,IMPAX SECURITY SERVICES LTD,IMPAX SECURITY SER    AS INVOICED BBP," 16,575.31 "," 2,762.55 "," 13,812.76 "," 13,812.76 ", Impax Security Services Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-22,IMPAX SECURITY SERVICES LTD,IMPAX SECURITY SER    AS INVOICED BBP," 6,229.02 "," 1,038.17 "," 5,190.85 "," 5,190.85 ", Impax Security Services Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,IMPAX SECURITY SERVICES LTD,IMPAX SECURITY SER    AS INVOICED BBP," 4,389.25 ", 731.54 ," 3,657.71 "," 3,657.71 ", Impax Security Services Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
1-Mar-23,IMPAX SECURITY SERVICES LTD,IMPAX SECURITY SER    AS INVOICED BBP," 6,930.00 "," 1,155.00 "," 5,775.00 "," 5,775.00 ", Impax Security Services Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
3-Mar-23,IMPAX SECURITY SERVICES LTD,IMPAX SECURITY SER    AS INVOICED BBP," 1,195.80 ", 199.30 , 996.50 , 996.50 , Impax Security Services Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,MA FACILITIES LIMITED,MA FACILITIES LIMI    AS INVOICED BBP," 1,858.00 ", 309.67 ," 1,548.33 "," 1,548.33 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
1-Mar-23,MA FACILITIES LIMITED,MA FACILITIES LIMI    AS INVOICED BBP," 5,471.00 ", 911.83 ," 4,559.17 "," 4,559.17 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,Man Guard Security Services Ltd,MANGUARD LTD          AS PER INVOICE FT," 1,140.00 ", 190.00 , 950.00 , 950.00 , Man Guard Security Services Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,Man Guard Security Services Ltd,MANGUARD LTD          AS PER INVOICE BBP, 588.00 , 98.00 , 490.00 , 490.00 , Man Guard Security Services Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
28-Apr-23,MOXIE SECURITY LTD,MOXIE SECURITY LTD    INVOICED FT," 5,909.39 ", 984.90 ," 4,924.49 "," 4,924.49 ", Moxie Security Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-22,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    INVOICE BBP," 1,506.00 ", 251.00 ," 1,255.00 "," 1,255.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
4-May-22,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    INVOICE BBP," 4,555.67 ", 759.28 ," 3,796.39 "," 3,796.39 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
5-May-22,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    INVOICE0025 BBP," 9,591.41 "," 1,598.57 "," 7,992.84 "," 7,992.84 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
20-Jul-22,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    INVOICE BBP," 18,394.00 "," 3,065.67 "," 15,328.33 "," 15,328.33 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-22,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    INVOICE BBP," 2,976.70 ", 496.12 ," 2,480.58 "," 2,480.58 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    AS INVOICED BBP," 2,500.00 ", 416.67 ," 2,083.33 "," 2,083.33 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
30-Jan-23,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    AS INVOICED BBP," 8,500.00 "," 1,416.67 "," 7,083.33 "," 7,083.33 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
6-Mar-23,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    AS INVOICED FT," 2,500.00 ", 416.67 ," 2,083.33 "," 2,083.33 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
26-Apr-23,MUGHAL MULTIPLE SERVICES LTD,MUGHAL MULTIPLE SE    AS INVOICED BBP," 5,000.00 ", 833.33 ," 4,166.67 "," 4,166.67 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
3-Feb-23,ORIGIN SECURITY LIMITED,ORIGINSECURITY LIM    AS PER INVOICE FT, 849.00 , 141.50 , 707.50 , 707.50 ,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
6-Feb-23,ORIGIN SECURITY LIMITED,ORIGINSECURITY LIM    AS PER INVOICE FT," 4,900.00 ", 816.67 ," 4,083.33 "," 4,083.33 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
13-Feb-23,ORIGIN SECURITY LIMITED,ORIGINSECURITY LIM    AS PER INVOICE BBP," 15,000.00 "," 2,500.00 "," 12,500.00 "," 12,500.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
14-Feb-23,ORIGIN SECURITY LIMITED,ORIGINSECURITY LIM    AS PER INVOICE FT," 8,547.00 "," 1,424.50 "," 7,122.50 "," 7,122.50 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-23,ORIGIN SECURITY LIMITED,ORIGINSECURITY LIM    AS PER INVOICE BBP," 23,511.56 "," 3,918.59 "," 19,592.97 "," 19,592.97 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
11-Apr-23,ORIGIN SECURITY LIMITED,ORIGINSECURITY LIM    AS PER INVOICE BBP," 23,261.90 "," 3,876.98 "," 19,384.92 "," 19,384.92 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
11-Mar-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE            BBP," 2,550.00 ", 425.00 ," 2,125.00 "," 2,125.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
14-Mar-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE            BBP," 2,450.00 ", 408.33 ," 2,041.67 "," 2,041.67 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
19-Apr-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE            FT ," 4,799.00 ", 799.83 ," 3,999.17 "," 3,999.17 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
20-Jul-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 3,560.00 ", 593.33 ," 2,966.67 "," 2,966.67 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
26-Aug-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE FT," 4,206.00 ", 701.00 ," 3,505.00 "," 3,505.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
23-Sep-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 13,536.93 "," 2,256.16 "," 11,280.78 "," 11,280.78 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
26-Sep-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE FT," 13,536.93 "," 2,256.16 "," 11,280.78 "," 11,280.78 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
24-Oct-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 7,676.57 "," 1,279.43 "," 6,397.14 "," 6,397.14 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
24-Nov-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 12,391.40 "," 2,065.23 "," 10,326.17 "," 10,326.17 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 9,419.17 "," 1,569.86 "," 7,849.31 "," 7,849.31 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 18,375.00 "," 3,062.50 "," 15,312.50 "," 15,312.50 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 1,545.00 ", 257.50 ," 1,287.50 "," 1,287.50 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
24-Feb-23,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 14,126.96 "," 2,354.49 "," 11,772.47 "," 11,772.47 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 9,540.11 "," 1,590.02 "," 7,950.09 "," 7,950.09 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
26-Apr-23,PEACE UK SECURITY LTD,PEACE UK SECURITY     INVOICE BBP," 3,566.90 ", 594.48 ," 2,972.42 "," 2,972.42 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-21,PPE SECURITY LTD,ADVANTEDGE COMMERC    14455              BBP," 9,442.06 "," 1,573.68 "," 7,868.38 "," 7,868.38 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-21,PPE SECURITY LTD,ADVANTEDGE COMMERC    14435              BBP," 6,448.50 "," 1,074.75 "," 5,373.75 "," 5,373.75 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
16-Dec-21,PPE SECURITY LTD,ADVANTEDGE COMMERC    14632              BBP," 17,123.22 "," 2,853.87 "," 14,269.35 "," 14,269.35 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    14435/PPE BBP," 11,692.80 "," 1,948.80 "," 9,744.00 "," 9,744.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
12-May-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    15017 BBP," 5,997.60 ", 999.60 ," 4,998.00 "," 4,998.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
20-May-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    15039 BBP," 2,822.40 ", 470.40 ," 2,352.00 "," 2,352.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
15-Jul-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    15225 BBP," 14,112.00 "," 2,352.00 "," 11,760.00 "," 11,760.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
22-Aug-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    GUAR001 BBP," 23,385.60 "," 3,897.60 "," 19,488.00 "," 19,488.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
30-Aug-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    GUAR001 BBP," 9,275.60 "," 1,545.93 "," 7,729.67 "," 7,729.67 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
31-Oct-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    14435/PPE BBP," 14,397.60 "," 2,399.60 "," 11,998.00 "," 11,998.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    14435/PPE BBP," 11,306.40 "," 1,884.40 "," 9,422.00 "," 9,422.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,PPE SECURITY LTD,ADVANTEDGE COMMERC    14435 BBP," 11,289.60 "," 1,881.60 "," 9,408.00 "," 9,408.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,PPE SECURITY LTD,ADVANTEDGE COMMERC    14435/PPE BBP," 6,165.60 "," 1,027.60 "," 5,138.00 "," 5,138.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
27-Feb-23,PPE SECURITY LTD,ADVANTEDGE COMMERC    14435/PPE BBP," 15,086.15 "," 2,514.36 "," 12,571.79 "," 12,571.79 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,PPE SECURITY LTD,ADVANTEDGE COMMERC    14435/PPE BBP," 11,088.00 "," 1,848.00 "," 9,240.00 "," 9,240.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
26-Apr-23,PPE SECURITY LTD,ADVANTEDGE COMMERC    14435/PPE BBP," 11,272.80 "," 1,878.80 "," 9,394.00 "," 9,394.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-22,PREMIER RESOURCES LTD,PREMIER RESOURCES     INV REF/GFM        BBP," 2,520.00 ", 420.00 ," 2,100.00 "," 2,100.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
28-Mar-22,PREMIER RESOURCES LTD,PREMIER RESOURCES     INV REF/GFM        FT ," 2,394.00 ",," 2,394.00 "," 2,394.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
19-Apr-22,PREMIER RESOURCES LTD,PREMIER RESOURCES     INV REF/GFM        FT ," 2,637.00 ",," 2,637.00 "," 2,637.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
16-May-22,PROSEC SOLUTIONS LTD,PROSEC SOLUTIONS L    INVOICE 0252 BBP," 4,580.52 ", 763.42 ," 3,817.10 "," 3,817.10 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
17-May-22,PROSEC SOLUTIONS LTD,PROSEC SOLUTIONS L    INVOICE 0254 FT," 16,518.00 "," 2,753.00 "," 13,765.00 "," 13,765.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
18-Aug-22,PROSEC SOLUTIONS LTD,PROSEC SOLUTIONS L    INVOICE 0259 FT," 6,000.00 "," 1,000.00 "," 5,000.00 "," 5,000.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
21-Sep-22,PROSEC SOLUTIONS LTD,PROSEC SOLUTIONS L    INVOICE 0284 FT," 16,134.00 "," 2,689.00 "," 13,445.00 "," 13,445.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
26-Sep-22,PROSEC SOLUTIONS LTD,PROSEC SOLUTIONS L    INVOICE 0264 FT," 22,984.70 "," 3,830.78 "," 19,153.92 "," 19,153.92 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
26-Oct-22,PROSEC SOLUTIONS LTD,PROSEC SOLUTIONS L    AS INVOICED BBP," 25,302.00 "," 4,217.00 "," 21,085.00 "," 21,085.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
23-Nov-22,PROSEC SOLUTIONS LTD,PROSEC SOLUTIONS L    INVOICE 0252 BBP," 5,041.90 ", 840.32 ," 4,201.58 "," 4,201.58 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,PROSEC SOLUTIONS LTD,PROSEC SOLUTIONS L    AS INVOICED BBP," 4,837.37 ", 806.23 ," 4,031.14 "," 4,031.14 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,PROSEC SOLUTIONS LTD,PROSEC SOLUTIONS L    INVOICE 0257 BBP," 4,126.00 ", 687.67 ," 3,438.33 "," 3,438.33 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
10-Mar-23,PROSEC SOLUTIONS LTD,PROSEC SOLUTIONS L    AS INVOICED GRP, 960.00 , 160.00 , 800.00 , 800.00 ,#N/A,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,PROSEC SOLUTIONS LTD,PROSEC SOLUTIONS L    AS INVOICED BBP," 1,870.00 ", 311.67 ," 1,558.33 "," 1,558.33 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
12-May-22,RADLEIGH SECURITY & FM LIMITED,RADLEIGH SECURITY     AS INVOICED FT," 8,518.00 "," 1,419.67 "," 7,098.33 "," 7,098.33 ", Radleigh Security & FM Limited ,,,,,,,,,,,,,,,,,,,,,,,,
28-Nov-22,RADLEIGH SECURITY & FM LIMITED,RADLEIGH SECURITY     AS INVOICED BBP," 4,500.00 ", 750.00 ," 3,750.00 "," 3,750.00 ", Radleigh Security & FM Limited ,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,RADLEIGH SECURITY & FM LIMITED,RADLEIGH SECURITY     AS INVOICED BBP," 13,017.88 "," 2,169.65 "," 10,848.23 "," 10,848.23 ", Radleigh Security & FM Limited ,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,RADLEIGH SECURITY & FM LIMITED,RADLEIGH SECURITY     AS INVOICED BBP," 7,500.00 "," 1,250.00 "," 6,250.00 "," 6,250.00 ", Radleigh Security & FM Limited ,,,,,,,,,,,,,,,,,,,,,,,,
27-Feb-23,RADLEIGH SECURITY & FM LIMITED,RADLEIGH SECURITY     AS INVOICED BBP," 16,472.53 "," 2,745.42 "," 13,727.11 "," 13,727.11 ", Radleigh Security & FM Limited ,,,,,,,,,,,,,,,,,,,,,,,,
1-Mar-23,RADLEIGH SECURITY & FM LIMITED,RADLEIGH SECURITY     AS INVOICED BBP," 17,618.45 "," 2,936.41 "," 14,682.04 "," 14,682.04 ", Radleigh Security & FM Limited ,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,RADLEIGH SECURITY & FM LIMITED,RADLEIGH SECURITY     AS INVOICED BBP," 10,236.50 "," 1,706.08 "," 8,530.42 "," 8,530.42 ", Radleigh Security & FM Limited ,,,,,,,,,,,,,,,,,,,,,,,,
28-Apr-23,RADLEIGH SECURITY & FM LIMITED,RADLEIGH SECURITY     AS INVOICED BBP," 21,635.10 "," 3,605.85 "," 18,029.25 "," 18,029.25 ", Radleigh Security & FM Limited ,,,,,,,,,,,,,,,,,,,,,,,,
4-May-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE             INVOICE            FT ," 6,258.50 "," 1,043.08 "," 5,215.42 "," 5,215.42 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
17-May-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            FT ," 20,508.80 "," 3,418.13 "," 17,090.67 "," 17,090.67 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
10-Jun-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE             INVOICE            BBP," 27,500.25 "," 4,583.38 "," 22,916.88 "," 22,916.88 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
30-Jun-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE             INVOICE            FT ," 34,580.80 "," 5,763.47 "," 28,817.33 "," 28,817.33 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
8-Jul-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE             INVOICE            BBP," 49,567.45 "," 8,261.24 "," 41,306.21 "," 41,306.21 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
12-Jul-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE             INVOICE            FT ," 9,658.80 "," 1,609.80 "," 8,049.00 "," 8,049.00 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
15-Jul-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE             INVOICE            FT ," 32,580.80 "," 5,430.13 "," 27,150.67 "," 27,150.67 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
20-Jul-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE             INVOICE            BBP," 35,565.00 "," 5,927.50 "," 29,637.50 "," 29,637.50 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
23-Jul-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            FT ," 15,500.80 "," 2,583.47 "," 12,917.33 "," 12,917.33 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
26-Jul-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            FT ," 15,080.58 "," 2,513.43 "," 12,567.15 "," 12,567.15 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
26-Jul-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            FT ," 35,805.80 "," 5,967.63 "," 29,838.17 "," 29,838.17 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
4-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            FT ," 29,508.65 "," 4,918.11 "," 24,590.54 "," 24,590.54 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
5-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            FT ," 29,508.80 "," 4,918.13 "," 24,590.67 "," 24,590.67 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
9-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            BBP," 30,545.50 "," 5,090.92 "," 25,454.58 "," 25,454.58 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
9-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            BBP," 45,450.56 "," 7,575.09 "," 37,875.47 "," 37,875.47 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            BBP," 25,467.56 "," 4,244.59 "," 21,222.97 "," 21,222.97 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            BBP," 45,252.35 "," 7,542.06 "," 37,710.29 "," 37,710.29 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
10-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            BBP," 25,520.35 "," 4,253.39 "," 21,266.96 "," 21,266.96 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            BBP," 38,542.56 "," 6,423.76 "," 32,118.80 "," 32,118.80 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
11-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            BBP," 35,452.56 "," 5,908.76 "," 29,543.80 "," 29,543.80 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
13-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            BBP," 35,252.50 "," 5,875.42 "," 29,377.08 "," 29,377.08 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
17-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            BBP," 16,000.00 "," 2,666.67 "," 13,333.33 "," 13,333.33 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
17-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            BBP," 47,500.00 "," 7,916.67 "," 39,583.33 "," 39,583.33 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
20-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            BBP," 45,450.56 "," 7,575.09 "," 37,875.47 "," 37,875.47 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
25-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            FT ," 19,000.58 "," 3,166.76 "," 15,833.82 "," 15,833.82 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
26-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            FT ," 25,808.50 "," 4,301.42 "," 21,507.08 "," 21,507.08 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
31-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            BBP," 25,430.80 "," 4,238.47 "," 21,192.33 "," 21,192.33 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
31-Aug-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            BBP," 49,550.50 "," 8,258.42 "," 41,292.08 "," 41,292.08 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
6-Sep-21,RED APPLE BRANDING AND MARKETING CONSULTANCY LTD,RED APPLE BRANDING    PAYMENT            BBP," 49,567.40 "," 8,261.23 "," 41,306.17 "," 41,306.17 ", Red Apple Branding and Marketing Consultancy Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
