Date, Name , Memo , Barclays 53895114 , Vat , Net , Purchase / Direct Cost ,,,,,,,,,,,,,,,,,,,,,,,,,
28-Nov-22,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 6,000.00 "," 1,000.00 "," 5,000.00 "," 5,000.00 ", Alliance Facilities Management Limited ,,,,,,,,,,,,,,,,,,,,,,,,
28-Dec-22,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 26,093.15 "," 4,348.86 "," 21,744.29 "," 21,744.29 ", Alliance Facilities Management Limited ,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 25,000.00 "," 4,166.67 "," 20,833.33 "," 20,833.33 ", Alliance Facilities Management Limited ,,,,,,,,,,,,,,,,,,,,,,,,
24-Feb-23,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 26,244.20 "," 4,374.03 "," 21,870.17 "," 21,870.17 ", Alliance Facilities Management Limited ,,,,,,,,,,,,,,,,,,,,,,,,
1-Mar-23,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP, 551.00 , 91.83 , 459.17 , 459.17 , Alliance Facilities Management Limited ,,,,,,,,,,,,,,,,,,,,,,,,
3-Mar-23,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 17,542.64 "," 2,923.77 "," 14,618.87 "," 14,618.87 ", Alliance Facilities Management Limited ,,,,,,,,,,,,,,,,,,,,,,,,
22-Mar-23,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED FT," 17,542.00 "," 2,923.67 "," 14,618.33 "," 14,618.33 ", Alliance Facilities Management Limited ,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 20,478.61 "," 3,413.10 "," 17,065.51 "," 17,065.51 ", Alliance Facilities Management Limited ,,,,,,,,,,,,,,,,,,,,,,,,
28-Apr-23,ALLIANCE FACILITIES MANAGEMENT LIMITED,ALLIANCE FACILITY     AS INVOICED BBP," 29,433.95 "," 4,905.66 "," 24,528.29 "," 24,528.29 ", Alliance Facilities Management Limited ,,,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,CAPITAL PROTECTIONS LTD,CAPITAL PROTECTION    PAYMENT BBP, 811.70 , 135.28 , 676.42 , 676.42 , Capital Protections Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
27-Feb-23,CAPITAL PROTECTIONS LTD,CAPITAL PROTECTION    PAYMENT BBP," 3,915.00 ", 652.50 ," 3,262.50 "," 3,262.50 ", Capital Protections Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,CAPITAL PROTECTIONS LTD,CAPITAL PROTECTION    PAYMENT BBP, 108.00 , 18.00 , 90.00 , 90.00 , Capital Protections Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
28-Apr-23,CAPITAL PROTECTIONS LTD,CAPITAL PROTECTION    PAYMENT BBP," 1,622.82 ", 270.47 ," 1,352.35 "," 1,352.35 ", Capital Protections Ltd ,,,,,,,,,,,,,,,,,,,,,,,,
28-Nov-22,COMPLIANCE SECURITY SERVICES LTD,COMPLIANCE SECURIT    AS INVOICED BBP," 29,409.60 "," 4,901.60 "," 24,508.00 "," 24,508.00 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,COMPLIANCE SECURITY SERVICES LTD,COMPLIANCE SECURIT    AS INVOICED BBP," 14,000.00 "," 2,333.33 "," 11,666.67 "," 11,666.67 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,COMPLIANCE SECURITY SERVICES LTD,COMPLIANCE SECURIT    AS INVOICED BBP," 8,469.57 "," 1,411.60 "," 7,057.98 "," 7,057.98 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
1-Mar-23,COMPLIANCE SECURITY SERVICES LTD,COMPLIANCE SECURIT    AS INVOICED BBP," 24,774.44 "," 4,129.07 "," 20,645.37 "," 20,645.37 ",#N/A,,,,,,,,,,,,,,,,,,,,,,,,
