Invoice No,Issue Date,Period Start,Period End,Invoice Amount,Bank Reference,Amount Paid,Date Paid,Status
SBI-GUA-202207-0303,05 Aug 2022,01 Jul 2022,31 Jul 2022,42112.08,,0.00,,Unpaid
SBI-GUA-202208-0310,08 Sept 2022,01 Aug 2022,31 Aug 2022,46046.30,,0.00,,Unpaid
SBI-GUA-202209-0320,06 Oct 2022,01 Sept 2022,30 Sept 2022,19986.86,,0.00,,Unpaid
SBI-GUA-202210-0329,05 Nov 2022,01 Oct 2022,31 Oct 2022,21085.14,,0.00,,Unpaid
SBI-GUA-202211-0338,08 Dec 2022,01 Nov 2022,30 Nov 2022,16223.88,,0.00,,Unpaid
SBI-GUA-202212-0346,05 Jan 2023,01 Dec 2022,31 Dec 2022,25047.05,,0.00,,Unpaid
SBI-GUA-202301-0357,09 Feb 2023,01 Jan 2023,31 Jan 2023,25737.22,,0.00,,Unpaid
SBI-GUA-202302-0369,08 Mar 2023,01 Feb 2023,28 Feb 2023,19349.14,,0.00,,Unpaid
SBI-GUA-202303-0382,04 Apr 2023,01 Mar 2023,31 Mar 2023,30052.87,,0.00,,Unpaid

,,,Total Invoiced,1639684.93,,1384124.49,,
,,,Outstanding,255560.44,,,,
