Date,Type,No.,Customer,Memo,Total before VAT,VAT,Amount,Balance,Status
01/05/2021,Invoice,2752,Alandale Logistics Ltd,WE 11-04-21 FULHAM,145.69,29.14,174.83,0.00,paid
01/05/2021,Invoice,2754,Alandale Logistics Ltd,WE 11-04-21 SHARD PLACE,155.40,31.08,186.48,0.00,paid
01/05/2021,Invoice,2749,Alandale Logistics Ltd,WE 11-04-21 CLEVELAND,213.75,42.75,256.50,0.00,paid
01/05/2021,Invoice,2750,Alandale Logistics Ltd,WE 11-04-21 BOROUGH YARD,270.00,54.00,324.00,0.00,paid
01/05/2021,Invoice,2751,Alandale Logistics Ltd,WE 11-04-21 CONTROL ROOM,310.80,62.16,372.96,0.00,paid
01/05/2021,Invoice,2756,Alandale Logistics Ltd,WE 18-04-21 SHERWOOD STREET,"1,042.48",208.50,"1,250.98",0.00,paid
01/05/2021,Invoice,2748,Alandale Logistics Ltd,WE 11-04-21 SHERWOOD STREET,"1,042.48",208.50,"1,250.98",0.00,paid
01/05/2021,Invoice,2755,Alandale Logistics Ltd,WE 11-04-21 WARDIAN,"1,552.50",310.50,"1,863.00",0.00,paid
01/05/2021,Invoice,2753,Alandale Logistics Ltd,WE 11-04-21 DIDCOT (APPLECART),"4,001.55",800.31,"4,801.86",0.00,paid
01/05/2021,Invoice,2745,ISSUKIRE,WC 19 APRIL 2021 P105460454-INV 246,"5,228.55","1,045.71","6,274.26",0.00,paid
02/05/2021,Invoice,2757,Alandale Logistics Ltd,WE 18-04-21 CLEVELAND,112.50,22.50,135.00,0.00,paid
02/05/2021,Invoice,2761,Alandale Logistics Ltd,WE 18-04-21 LOWER THAMES,152.40,30.48,182.88,0.00,paid
02/05/2021,Invoice,2758,Alandale Logistics Ltd,WE 18-04-21 BOROUGH YARD,270.00,54.00,324.00,0.00,paid
02/05/2021,Invoice,2760,Alandale Logistics Ltd,WE 18-04-21 FULHAM,310.80,62.16,372.96,0.00,paid
02/05/2021,Invoice,2759,Alandale Logistics Ltd,WE 18-04-21 CONTROL ROOM,310.80,62.16,372.96,0.00,paid
02/05/2021,Invoice,2763,Alandale Logistics Ltd,WE 18-04-21 WARDIAN,"1,147.50",229.50,"1,377.00",0.00,paid
02/05/2021,Invoice,2762,Alandale Logistics Ltd,WE 18-04-21 DIDCOT (APPLECART),"5,620.30","1,124.06","6,744.36",0.00,paid
02/05/2021,Invoice,2764,Brooknight Security,WE 03-09-21 APPROVED,253.00,50.60,303.60,0.00,paid
02/05/2021,Invoice,2765,ISSUKIRE,WC 26 APRIL 21 P105469531 INV 249,"5,155.91","1,031.18","6,187.09",0.00,paid
03/05/2021,Invoice,2766,G4S Secure Solutions (UK),PENTA HOTEL UK1115028321,"9,064.00","1,812.80","10,876.80",0.00,paid
03/05/2021,Invoice,2802,OCS,274954,"22,768.75","4,553.75","27,322.50",0.00,paid
04/05/2021,Invoice,2914,Accident Victims Helpline Ltd,,"4,200.00",840.00,"5,040.00",0.00,paid
07/05/2021,Invoice,2774,Alandale Logistics Ltd,WE 25-04-21 LEWISHAM,270.00,54.00,324.00,0.00,paid
07/05/2021,Invoice,2770,Alandale Logistics Ltd,WE 25-04-21 BOROUGH YARD,270.00,54.00,324.00,0.00,paid
07/05/2021,Invoice,2772,Alandale Logistics Ltd,WE 25-04-21 FULHAM,310.80,62.16,372.96,0.00,paid
07/05/2021,Invoice,2771,Alandale Logistics Ltd,WE 25-04-21 CONTROL ROOM,310.80,62.16,372.96,0.00,paid
07/05/2021,Invoice,2769,Alandale Logistics Ltd,WE 25-04-21 CLEVELAND,675.00,135.00,810.00,0.00,paid
07/05/2021,Invoice,2768,Alandale Logistics Ltd,WE 25-04-21 WARWICK COURT,720.00,144.00,864.00,0.00,paid
07/05/2021,Invoice,2775,Alandale Logistics Ltd,WE 25-04-21 WARDIAN,"1,080.00",216.00,"1,296.00",0.00,paid
07/05/2021,Invoice,2767,Alandale Logistics Ltd,WE 25-04-21 SHERWOOD STREET,"1,877.75",375.55,"2,253.30",0.00,paid
07/05/2021,Invoice,2773,Alandale Logistics Ltd,WE 25-04-21 DIDCOT + LAND WEST OF CULHAM,"7,018.20","1,403.64","8,421.84",0.00,paid
07/05/2021,Invoice,2776,BRIDGE SECURITY SERVICES LTD,WE 02-05-2021,"1,320.00",264.00,"1,584.00",0.00,paid
10/05/2021,Invoice,2870,OCS,276187,"35,887.55","7,177.51","43,065.06",0.00,paid
15/05/2021,Invoice,2782,GROSVERN,APRIL 2021,"4,498.25",899.65,"5,397.90",0.00,paid
15/05/2021,Invoice,2783,Omni Security Services Ltd,APRIL 2021,"2,675.02",535.00,"3,210.02",0.00,paid
15/05/2021,Invoice,2778,Securitas Security Services (UK) Ltd,ROBERT APRIL 2021,"1,690.00",338.00,"2,028.00",0.00,paid
15/05/2021,Invoice,2779,STMSECUR,APRIL 2021 EASTREN,"1,777.57",355.52,"2,133.09",0.00,paid
15/05/2021,Invoice,2780,SWL Security Services,APRIL 2021,"2,344.16",468.83,"2,812.99",0.00,paid
15/05/2021,Invoice,2784,Tutelar Security Ltd,APRIL 2021,480.00,96.00,576.00,0.00,paid
15/05/2021,Invoice,2781,UK Protection Ltd,APRIL 2021,387.50,77.50,465.00,0.00,paid
16/05/2021,Invoice,2785,BRIDGE SECURITY SERVICES LTD,WE 09-05-2021,"1,560.00",312.00,"1,872.00",0.00,paid
17/05/2021,Invoice,2804,OCS,280011,"32,540.30","6,508.06","39,048.36",0.00,paid
19/05/2021,Invoice,2791,BRIDGE SECURITY SERVICES LTD,WE 16-05-2021,"1,440.00",288.00,"1,728.00",0.00,paid
19/05/2021,Invoice,2787,G4S Secure Solutions (UK),CM19 5AW- May2021 UK1115029075,"1,938.00",387.60,"2,325.60",0.00,paid
19/05/2021,Invoice,2790,G4S Secure Solutions (UK),SG1 2FX  May 2021 UK1115029040,"2,142.00",428.40,"2,570.40",0.00,paid
19/05/2021,Invoice,2789,G4S Secure Solutions (UK),March 2021 SG1 2NY / SG12 ODJ UK1115029045,"2,907.00",581.40,"3,488.40",0.00,paid
19/05/2021,Invoice,2788,G4S Secure Solutions (UK),GSK SG12 0DP May 2021 UK1115029043,"4,845.00",969.00,"5,814.00",0.00,paid
19/05/2021,Invoice,2786,G4S Secure Solutions (UK),Park Grand UK1115028418,"33,227.18","6,645.44","39,872.62",0.00,paid
20/05/2021,Invoice,2792,MK9 Metropolitan Services,APRIL 2021,"5,628.00","1,125.60","6,753.60",0.00,paid
20/05/2021,Invoice,2793,Paratus Security Limited,MAR 2021,"11,225.00","2,245.00","13,470.00",0.00,paid
21/05/2021,Invoice,2795,G4S Secure Solutions (UK),Penta Hotel UK1115029770,"9,672.00","1,934.40","11,606.40",0.00,paid
21/05/2021,Invoice,2796,G4S Secure Solutions (UK),Penta Hotel UK1115029784,"84,816.00","16,963.20","101,779.20",0.00,paid
21/05/2021,Invoice,2777,Paratus Security Limited,APRIL 2021,"3,200.00",640.00,"3,840.00",0.00,paid
25/05/2021,Invoice,2798,G4S Secure Solutions (UK),Penta Hotel UK1115029869,432.00,86.40,518.40,0.00,paid
25/05/2021,Invoice,2797,G4S Secure Solutions (UK),Park Grand Hotel UK1115029973,"142,740.00","28,548.00","171,288.00",0.00,paid
26/05/2021,Invoice,2799,BRIDGE SECURITY SERVICES LTD,WE 23-05-2021,"1,680.00",336.00,"2,016.00",0.00,paid
27/05/2021,Invoice,2805,OCS,281289,"29,009.73","5,801.95","34,811.68",0.00,paid
29/05/2021,Invoice,2807,Alandale Logistics Ltd,WE 02-05-21 CLEVELAND,354.38,70.88,425.26,0.00,paid
29/05/2021,Invoice,2806,Alandale Logistics Ltd,WE 02-05-21 SHERWOOD STREET,984.20,196.84,"1,181.04",0.00,paid
30/05/2021,Invoice,2818,Alandale Logistics Ltd,WE 09-05-21 FULHAM,142.45,28.49,170.94,0.00,paid
30/05/2021,Invoice,2828,Alandale Logistics Ltd,WE 16-05-21 FULHAM,144.39,28.88,173.27,0.00,paid
30/05/2021,Invoice,2820,Alandale Logistics Ltd,WE 09-05-21 LOWER THAMES,152.40,30.48,182.88,0.00,paid
30/05/2021,Invoice,2824,Alandale Logistics Ltd,WE 16-05-21 WARWICK COURT,258.75,51.75,310.50,0.00,paid
30/05/2021,Invoice,2826,Alandale Logistics Ltd,WE 16-05-21 BOROUGH YARD,270.00,54.00,324.00,0.00,paid
30/05/2021,Invoice,2816,Alandale Logistics Ltd,WE 09-05-21 BOROUGH YARD,270.00,54.00,324.00,0.00,paid
30/05/2021,Invoice,2809,Alandale Logistics Ltd,WE 02-05-21 BOROUGH YARD,270.00,54.00,324.00,0.00,paid
30/05/2021,Invoice,2827,Alandale Logistics Ltd,WE 16-05-21 CONTROL ROOM,310.80,62.16,372.96,0.00,paid
30/05/2021,Invoice,2817,Alandale Logistics Ltd,WE 09-05-21 CONTROL ROOM,310.80,62.16,372.96,0.00,paid
30/05/2021,Invoice,2825,Alandale Logistics Ltd,WE 16-05-21 CLEVELAND,371.25,74.25,445.50,0.00,paid
30/05/2021,Invoice,2810,Alandale Logistics Ltd,WE 02-05-21 CONTROL ROOM,505.05,101.01,606.06,0.00,paid
30/05/2021,Invoice,2808,Alandale Logistics Ltd,WE 02-05-21 WARWICK COURT,742.50,148.50,891.00,0.00,paid
30/05/2021,Invoice,2814,Alandale Logistics Ltd,WE 09-05-21 SHERWOOD STREET,835.28,167.06,"1,002.34",0.00,paid
30/05/2021,Invoice,2815,Alandale Logistics Ltd,WE 09-05-21 WARWICK COURT,849.38,169.88,"1,019.26",0.00,paid
30/05/2021,Invoice,2823,Alandale Logistics Ltd,WE 16-05-21 SHERWOOD STREET,906.50,181.30,"1,087.80",0.00,paid
30/05/2021,Invoice,2831,Alandale Logistics Ltd,WE 16-05-21 WARDIAN,"1,080.00",216.00,"1,296.00",0.00,paid
30/05/2021,Invoice,2822,Alandale Logistics Ltd,WE 09-05-21 WARDIAN,"1,147.50",229.50,"1,377.00",0.00,paid
30/05/2021,Invoice,2813,Alandale Logistics Ltd,WE 02-05-21 WARDIAN,"1,215.00",243.00,"1,458.00",0.00,paid
30/05/2021,Invoice,2829,Alandale Logistics Ltd,"WE 16-05-21 LAND WEST OF CULHAM
WESSEX ARCHAEOLOGY","1,890.00",378.00,"2,268.00",0.00,paid
30/05/2021,Invoice,2811,Alandale Logistics Ltd,WE 02-05-21 LAND WEST OF CULHAM,"2,160.00",432.00,"2,592.00",0.00,paid
30/05/2021,Invoice,2819,Alandale Logistics Ltd,"WE 09-05-21 LAND WEST OF CULHAM
WESSEX ARCHAEOLOGY","2,390.63",478.13,"2,868.76",0.00,paid
30/05/2021,Invoice,2830,Alandale Logistics Ltd,WE 16-05-21 ABINGDON DIDCOT (APPLECART),"2,926.70",585.34,"3,512.04",0.00,paid
30/05/2021,Invoice,2812,Alandale Logistics Ltd,WE 02-05-21 ABINGDON DIDCOT (APPLECART),"2,926.70",585.34,"3,512.04",0.00,paid
30/05/2021,Invoice,2821,Alandale Logistics Ltd,WE 09-05-21 ABINGDON DIDCOT (APPLECART),"3,457.65",691.53,"4,149.18",0.00,paid
31/05/2021,Invoice,2873,OCS,282547,"12,283.30","2,456.66","14,739.96",0.00,paid
01/06/2021,Invoice,2833,Drake Engineering,May 2021,"5,061.60","1,012.32","6,073.92",54.72,overdue
02/06/2021,Invoice,2834,BRIDGE SECURITY SERVICES LTD,WE 30-05-2021,"1,920.00",384.00,"2,304.00",0.00,paid
02/06/2021,Invoice,2835,G4S Secure Solutions (UK),Novotel Hotel UK1115030779,"174,087.60","34,817.52","208,905.12",0.00,paid
03/06/2021,Invoice,2837,Alandale Logistics Ltd,WE 23-05-21 WARWICK COURT,140.63,28.13,168.76,0.00,paid
03/06/2021,Invoice,2850,Alandale Logistics Ltd,WE 30-05-21 BOROUGH YARD,270.00,54.00,324.00,0.00,paid
03/06/2021,Invoice,2842,Alandale Logistics Ltd,WE 23-05-21 BOROUGH YARD,270.00,54.00,324.00,0.00,paid
03/06/2021,Invoice,2839,Alandale Logistics Ltd,WE 23-05-21 CONTROL ROOM,310.80,62.16,372.96,0.00,paid
03/06/2021,Invoice,2847,Alandale Logistics Ltd,WE 30-05-21 CONTROL ROOM,349.65,69.93,419.58,0.00,paid
03/06/2021,Invoice,2843,Alandale Logistics Ltd,WE 23-05-21 CLEVELAND,691.88,138.38,830.26,0.00,paid
03/06/2021,Invoice,2848,Alandale Logistics Ltd,WE 30-05-21 CLEVELAND,703.13,140.63,843.76,0.00,paid
03/06/2021,Invoice,2849,Alandale Logistics Ltd,WE 30-05-21 SHERWOOD STREET,984.20,196.84,"1,181.04",0.00,paid
03/06/2021,Invoice,2841,Alandale Logistics Ltd,WE 23-05-21 SHERWOOD STREET,984.20,196.84,"1,181.04",0.00,paid
03/06/2021,Invoice,2836,Alandale Logistics Ltd,WE 23-05-21 WARDIAN,"1,080.00",216.00,"1,296.00",0.00,paid
03/06/2021,Invoice,2838,Alandale Logistics Ltd,"WE 23-05-21
WESSEX ARCHAEOLOGY
 LAND WEST OF CULHAM","1,890.00",378.00,"2,268.00",0.00,paid
03/06/2021,Invoice,2844,Alandale Logistics Ltd,"WE 30-05-21
WESSEX ARCHAEOLOGY
 LAND WEST OF CULHAM","1,929.38",385.88,"2,315.26",0.00,paid
03/06/2021,Invoice,2846,Alandale Logistics Ltd,WE 30-05-21 WARDIAN,"2,025.00",405.00,"2,430.00",0.00,paid
03/06/2021,Invoice,2840,Alandale Logistics Ltd,WE 23-05-21 ABINGDON DIDCOT (APPLECART),"2,926.70",585.34,"3,512.04",0.00,paid
03/06/2021,Invoice,2845,Alandale Logistics Ltd,WE 30-05-21 ABINGDON DIDCOT (APPLECART),"2,965.55",593.11,"3,558.66",0.00,paid
06/06/2021,Invoice,2915,Accident Victims Helpline Ltd,,"4,200.00",840.00,"5,040.00",0.00,paid
07/06/2021,Invoice,2874,OCS,283846,"50,161.54","10,032.31","60,193.85",0.00,paid
14/06/2021,Invoice,2851,GROSVERN,MAY 2021,"5,424.50","1,084.90","6,509.40",0.00,paid
14/06/2021,Invoice,2875,OCS,285179,"29,654.09","5,930.82","35,584.91",0.00,paid
16/06/2021,Invoice,2852,G4S Secure Solutions (UK),Park Grand Hotel UK1115031816,"140,581.44","28,116.29","168,697.73",0.00,paid
17/06/2021,Invoice,2853,MK9 Metropolitan Services,march 2021,"1,530.00",306.00,"1,836.00",0.00,paid
18/06/2021,Invoice,2855,BRIDGE SECURITY SERVICES LTD,WE 13-06-2021,"1,920.00",384.00,"2,304.00",0.00,paid
18/06/2021,Invoice,2854,BRIDGE SECURITY SERVICES LTD,WE 06-06-2021,"2,040.00",408.00,"2,448.00",0.00,paid
18/06/2021,Invoice,2861,ISSUKIRE,WC 07 JUNE 2021 PO P105488090 255,"3,684.34",736.87,"4,421.21",0.00,paid
18/06/2021,Invoice,2859,ISSUKIRE,WC 17 MAY 2021 PO P105536721 265,"5,099.14","1,019.83","6,118.97",0.00,paid
18/06/2021,Invoice,2858,ISSUKIRE,WC 10 MAY 2021 P105474455 INV 252,"5,770.29","1,154.06","6,924.35",0.00,paid
18/06/2021,Invoice,2856,Omni Security Services Ltd,MAY 2021,"2,460.61",492.12,"2,952.73",0.00,paid
18/06/2021,Invoice,2862,SWL Security Services,MAY 2021,"3,567.20",713.43,"4,280.63",0.00,paid
21/06/2021,Invoice,2878,ISSUKIRE,WC 10 MAY 2021 P105469532 INV 250,"4,773.21",954.64,"5,727.85",0.00,paid
21/06/2021,Invoice,2877,ISSUKIRE,WC 31MAY 2021 P105480565 INV 251,"5,244.80","1,048.96","6,293.76",0.00,paid
21/06/2021,Invoice,2876,OCS,286510,"31,382.49","6,276.50","37,658.99",0.00,paid
21/06/2021,Invoice,2865,Paratus Security Limited,MAY 2021,"2,637.50",527.50,"3,165.00",0.00,paid
21/06/2021,Invoice,2866,Securitas Security Services (UK) Ltd,ROBERT MAY 2021,"1,742.00",348.40,"2,090.40",0.00,paid
21/06/2021,Invoice,2863,Traditional Norfolk Poultry Ltd,MAY 2021,"1,947.75",389.55,"2,337.30",0.00,paid
21/06/2021,Invoice,2864,Traditional Norfolk Poultry Ltd,APR 2021,"2,474.50",494.90,"2,969.40",0.00,paid
22/06/2021,Invoice,2868,STMSECUR,May 2021,"4,841.88",968.38,"5,810.26",0.00,paid
22/06/2021,Invoice,2869,Tutelar Security Ltd,MAY2021,"1,008.00",201.60,"1,209.60",0.00,paid
24/06/2021,Invoice,2884,G4S Secure Solutions (UK),CM19 5AW- June 2021 UK1115032369,"2,244.00",448.80,"2,692.80",0.00,paid
24/06/2021,Invoice,2882,G4S Secure Solutions (UK),JUNE 2021 SG1 2NY / SG12 ODJ UK1115032371,"3,366.00",673.20,"4,039.20",0.00,paid
24/06/2021,Invoice,2883,G4S Secure Solutions (UK),SG1 2FX - June 2021 UK1115032370,"3,519.00",703.80,"4,222.80",0.00,paid
24/06/2021,Invoice,2881,G4S Secure Solutions (UK),GSK SG12 0DP May 2021 UK1115029043,"5,610.00","1,122.00","6,732.00",0.00,paid
24/06/2021,Invoice,2880,G4S Secure Solutions (UK),Novotel Hotel UK1115032605,"268,488.24","53,697.65","322,185.89",0.00,paid
25/06/2021,Invoice,2902,Alandale Logistics Ltd,WE 20.06.2021 LEWISHAM,135.00,27.00,162.00,0.00,paid
25/06/2021,Invoice,2897,Alandale Logistics Ltd,WE 13.06.2021 BOROUGH YARD,135.00,27.00,162.00,0.00,paid
25/06/2021,Invoice,2895,Alandale Logistics Ltd,WE 13.06.2021 LEWISHAM,135.00,27.00,162.00,0.00,paid
25/06/2021,Invoice,2886,Alandale Logistics Ltd,WE 06.06.2021 BOROUGH YARD,135.00,27.00,162.00,0.00,paid
25/06/2021,Invoice,2898,Alandale Logistics Ltd,WE 13.06.2021 SHARD PLACE,155.40,31.08,186.48,0.00,paid
25/06/2021,Invoice,2890,Alandale Logistics Ltd,WE 06.06.2021 LEWISHAM,163.13,32.63,195.76,0.00,paid
25/06/2021,Invoice,2887,Alandale Logistics Ltd,WE 06.06.2021 CONTROL ROOM,310.80,62.16,372.96,0.00,paid
25/06/2021,Invoice,2900,Alandale Logistics Ltd,WE 20.06.2021 CLEVELAND,455.63,91.13,546.76,0.00,paid
25/06/2021,Invoice,2891,Alandale Logistics Ltd,WE 06.06.2021 SHERWOOD STREET,893.55,178.71,"1,072.26",0.00,paid
25/06/2021,Invoice,2899,Alandale Logistics Ltd,WE 20.06.2021 SHERWOOD STREET,"1,042.48",208.50,"1,250.98",0.00,paid
25/06/2021,Invoice,2893,Alandale Logistics Ltd,WE 13.06.2021 SHERWOOD STREET,"1,651.13",330.23,"1,981.36",0.00,paid
25/06/2021,Invoice,2901,Alandale Logistics Ltd,"WE 20.06.2021
WESSEX ARCHAEOLOGY
 LAND WEST OF CULHAM","1,890.00",378.00,"2,268.00",0.00,paid
25/06/2021,Invoice,2894,Alandale Logistics Ltd,"WE 13.06.2021
WESSEX ARCHAEOLOGY
 LAND WEST OF CULHAM","1,890.00",378.00,"2,268.00",0.00,paid
25/06/2021,Invoice,2889,Alandale Logistics Ltd,"WE 06.06.2021
WESSEX ARCHAEOLOGY
 LAND WEST OF CULHAM","1,957.50",391.50,"2,349.00",0.00,paid
25/06/2021,Invoice,2888,Alandale Logistics Ltd,WE 06.06.2021 WARDIAN,"2,126.25",425.25,"2,551.50",0.00,paid
25/06/2021,Invoice,2904,Alandale Logistics Ltd,WE 20.06.2021 WARDIAN,"2,137.50",427.50,"2,565.00",0.00,paid
25/06/2021,Invoice,2892,Alandale Logistics Ltd,WE 13.06.2021 ABINGDON DIDCOT (APPLECART),"2,900.80",580.16,"3,480.96",0.00,paid
25/06/2021,Invoice,2903,Alandale Logistics Ltd,WE 20.06.2021 ABINGDON DIDCOT (APPLECART),"2,926.70",585.34,"3,512.04",0.00,paid
25/06/2021,Invoice,2896,Alandale Logistics Ltd,WE 13.06.2021 WARDIAN,"2,970.00",594.00,"3,564.00",0.00,paid
25/06/2021,Invoice,2885,Alandale Logistics Ltd,WE 06.06.2021 ABINGDON DIDCOT (APPLECART),"3,431.75",686.35,"4,118.10",0.00,paid
25/06/2021,Invoice,2747,Brooknight Security,WE 25-04-21 APPROVED,189.75,37.95,227.70,0.00,paid
26/06/2021,Invoice,2746,Brooknight Security,WE 18-04-21 APPROVED,908.50,181.70,"1,090.20",0.00,paid
28/06/2021,Invoice,2905,G4S Secure Solutions (UK),Penta Hotel UK1115032881,"60,960.00","12,192.00","73,152.00",0.00,paid
28/06/2021,Invoice,2981,OCS,286510,"38,026.19","7,605.24","45,631.43",0.00,paid
29/06/2021,Invoice,2907,MK9 Metropolitan Services,MAY 2021,"6,126.75","1,225.35","7,352.10",0.00,paid
29/06/2021,Invoice,2906,Securitas Security Services (UK) Ltd,STADIUM WEMBLEY  JUNE 2021,"16,156.13","3,231.23","19,387.36",0.00,paid
05/07/2021,Invoice,2982,OCS,289178,"31,693.45","6,338.69","38,032.14",0.00,paid
06/07/2021,Invoice,2911,BRIDGE SECURITY SERVICES LTD,WE 27-06-2021,"1,800.00",360.00,"2,160.00",0.00,paid
06/07/2021,Invoice,2910,BRIDGE SECURITY SERVICES LTD,WE 20-06-2021,"1,800.00",360.00,"2,160.00",0.00,paid
06/07/2021,Invoice,2909,G4S Secure Solutions (UK),Penta Hotel UK1115033266,"2,808.00",561.60,"3,369.60",0.00,paid
06/07/2021,Invoice,2908,G4S Secure Solutions (UK),Penta Hotel UK1115033195,"25,200.00","5,040.00","30,240.00",0.00,paid
09/07/2021,Invoice,2879,ISSUKIRE,WC 14 JUNE 2021 PO P105488088 254,"4,144.06",828.81,"4,972.87",0.00,paid
09/07/2021,Invoice,2860,ISSUKIRE,WC 24 MAY 2021 PO P105488089 253,"4,377.16",875.43,"5,252.59",0.00,paid
12/07/2021,Invoice,2983,OCS,290547,"30,132.84","6,026.57","36,159.41",0.00,paid
16/07/2021,Invoice,2919,G4S Secure Solutions (UK),GSK Harlow JULY 2021 UK1115034148,"2,244.00",448.80,"2,692.80",0.00,paid
16/07/2021,Invoice,2917,G4S Secure Solutions (UK),PE19 6YT  UK1115034044,"3,168.00",633.60,"3,801.60",0.00,paid
16/07/2021,Invoice,2918,G4S Secure Solutions (UK),GSK SG12 0DJ May 2021 UK1115034149,"3,366.00",673.20,"4,039.20",0.00,paid
16/07/2021,Invoice,2920,G4S Secure Solutions (UK),GSK SG12 0DP JULY 2021 UK1115034150,"5,610.00","1,122.00","6,732.00",0.00,paid
16/07/2021,Invoice,2916,G4S Secure Solutions (UK),Park Grand Hotel UK1115034001,"146,300.16","29,260.03","175,560.19",0.00,paid
19/07/2021,Invoice,2984,OCS,291904,"30,156.28","6,031.26","36,187.54",0.00,paid
26/07/2021,Invoice,2927,BRIDGE SECURITY SERVICES LTD,WE 18.07.2021,"1,800.00",360.00,"2,160.00",0.00,paid
26/07/2021,Invoice,2925,BRIDGE SECURITY SERVICES LTD,WE 04.07.2021,"1,800.00",360.00,"2,160.00",0.00,paid
26/07/2021,Invoice,2926,BRIDGE SECURITY SERVICES LTD,WE 11.07.2021,"2,160.00",432.00,"2,592.00",0.00,paid
26/07/2021,Invoice,2922,G4S Secure Solutions (UK),PE19 6YT  UK1115033030,720.00,144.00,864.00,0.00,paid
26/07/2021,Invoice,2923,G4S Secure Solutions (UK),Cambridge CB2 8DR  UK1115034835,"2,112.00",422.40,"2,534.40",0.00,paid
26/07/2021,Invoice,2924,G4S Secure Solutions (UK),Novotel Hotel UK1115034942,"150,384.96","30,076.99","180,461.95",0.00,paid
26/07/2021,Invoice,2985,OCS,293267,"26,826.91","5,365.38","32,192.29",0.00,paid
26/07/2021,Invoice,2921,Securitas Security Services (UK) Ltd,STADIUM WEMBLEY S-POR1035661 JULY 2021,"27,708.75","5,541.75","33,250.50",0.00,paid
27/07/2021,Invoice,2928,C S S LIMITED,June 2021,234.00,46.80,280.80,0.00,paid
27/07/2021,Invoice,2936,MK9 Metropolitan Services,JUNE 2021,"5,481.00","1,096.20","6,577.20",0.00,paid
27/07/2021,Invoice,2934,O&B SECURITY LIMITED,WE 20.06,776.25,155.25,931.50,0.00,paid
27/07/2021,Invoice,2930,Omni Security Services Ltd,June 2021,"2,246.20",449.24,"2,695.44",0.00,paid
27/07/2021,Invoice,2933,Paratus Security Limited,June 2021,"7,310.50","1,462.10","8,772.60",0.00,paid
27/07/2021,Invoice,2935,Securitas Security Services (UK) Ltd,ROBERT June 2021,442.00,88.40,530.40,0.00,paid
27/07/2021,Invoice,2932,STMSECUR,June 2021,"3,433.96",686.79,"4,120.75",0.00,paid
27/07/2021,Invoice,2931,SWL Security Services,June 2021,"2,344.16",468.83,"2,812.99",0.00,paid
27/07/2021,Invoice,2929,UK Protection Ltd,May & June 2021,584.38,116.88,701.26,0.00,paid
28/07/2021,Invoice,2947,Alandale Logistics Ltd,WE 04.07.2021 LEWISHAM,135.00,27.00,162.00,0.00,paid
28/07/2021,Invoice,2939,Alandale Logistics Ltd,WE 27.06.2021 FULHAM,155.40,31.08,186.48,0.00,paid
28/07/2021,Invoice,2956,Alandale Logistics Ltd,WE 11.07.2021 LEWISHAM,270.00,54.00,324.00,0.00,paid
28/07/2021,Invoice,2953,Alandale Logistics Ltd,WE 11.07.2021 Century Tower,270.00,54.00,324.00,0.00,paid
28/07/2021,Invoice,2948,Alandale Logistics Ltd,WE 04.07.2021 SHARD PLACE,284.90,56.98,341.88,0.00,paid
28/07/2021,Invoice,2941,Alandale Logistics Ltd,WE 27.06.2021 SHARD PLACE,310.80,62.16,372.96,0.00,paid
28/07/2021,Invoice,2945,Alandale Logistics Ltd,WE 04.07.2021 CLEVELAND,697.50,139.50,837.00,0.00,paid
28/07/2021,Invoice,2952,Alandale Logistics Ltd,WE 11.07.2021 CLEVELAND,826.88,165.38,992.26,0.00,paid
28/07/2021,Invoice,2938,Alandale Logistics Ltd,WE 27.06.2021 CLEVELAND,871.88,174.38,"1,046.26",0.00,paid
28/07/2021,Invoice,2937,Alandale Logistics Ltd,WE 27.06.2021 SHERWOOD STREET,971.25,194.25,"1,165.50",0.00,paid
28/07/2021,Invoice,2951,Alandale Logistics Ltd,WE 11.07.2021 SHERWOOD STREET,"1,042.48",208.50,"1,250.98",0.00,paid
28/07/2021,Invoice,2944,Alandale Logistics Ltd,WE 04.07.2021 SHERWOOD STREET,"1,042.48",208.50,"1,250.98",0.00,paid
28/07/2021,Invoice,2954,Alandale Logistics Ltd,"WE 11.07.2021
WESSEX ARCHAEOLOGY
 LAND WEST OF CULHAM","1,890.00",378.00,"2,268.00",0.00,paid
28/07/2021,Invoice,2946,Alandale Logistics Ltd,"WE 04.07.2021
WESSEX ARCHAEOLOGY
 LAND WEST OF CULHAM","1,890.00",378.00,"2,268.00",0.00,paid
28/07/2021,Invoice,2940,Alandale Logistics Ltd,"WE 27.06.2021
WESSEX ARCHAEOLOGY
 LAND WEST OF CULHAM","1,890.00",378.00,"2,268.00",0.00,paid
28/07/2021,Invoice,2942,Alandale Logistics Ltd,WE 27.06.2021 WARDIAN,"2,025.00",405.00,"2,430.00",0.00,paid
28/07/2021,Invoice,2955,Alandale Logistics Ltd,WE 11.07.2021 WARDIAN,"2,160.00",432.00,"2,592.00",0.00,paid
28/07/2021,Invoice,2949,Alandale Logistics Ltd,WE 04.07.2021 WARDIAN,"2,430.00",486.00,"2,916.00",0.00,paid
28/07/2021,Invoice,2957,Alandale Logistics Ltd,WE 11.07.2021 ABINGDON DIDCOT (APPLECART),"2,926.70",585.34,"3,512.04",0.00,paid
28/07/2021,Invoice,2950,Alandale Logistics Ltd,WE 04.07.2021 ABINGDON DIDCOT (APPLECART),"2,926.70",585.34,"3,512.04",0.00,paid
