invoice_number,supplier,work_month,shifts,total_hours,hourly_rate,vat_rate,subtotal,vat_amount,total_amount,issue_date,days_after_period_end
SBI-GUA-202402-0646,FAB 4 Security,2024-02,11,93.00,11.02,20.00,1024.86,204.95,1229.81,2024-03-03,3
SBI-GUA-202402-0645,RADLEIGH SECURITY & FM LIMITED,2024-02,2,24.00,11.50,20.00,276.00,55.20,331.20,2024-03-03,3
SBI-GUA-202402-0643,REFINE SECURITY SERVICES LTD,2024-02,2,24.00,12.00,20.00,288.00,57.60,345.60,2024-03-02,2
SBI-GUA-202402-0641,SECURITY ZONE MIDLANDS LIMITED,2024-02,3,36.00,12.50,20.00,450.00,90.00,540.00,2024-03-05,5
SBI-GUA-202402-0642,XTREME PROFESSIONAL CLEANING LTD,2024-02,99,607.00,11.75,20.00,7132.26,1426.46,8558.72,2024-03-03,3
SBI-GUA-202403-0650,FAB 4 Security,2024-03,1,12.00,11.02,20.00,132.24,26.45,158.69,2024-04-02,2
SBI-GUA-202403-0649,RADLEIGH SECURITY & FM LIMITED,2024-03,2,21.00,11.50,20.00,241.50,48.30,289.80,2024-04-05,5
SBI-GUA-202403-0647,SECURITY ZONE MIDLANDS LIMITED,2024-03,1,12.00,12.50,20.00,150.00,30.00,180.00,2024-04-01,1
SBI-GUA-202403-0651,VITAL GUARDING FM LTD,2024-03,3,28.50,12.00,20.00,342.00,68.40,410.40,2024-04-05,5
SBI-GUA-202403-0648,XTREME PROFESSIONAL CLEANING LTD,2024-03,69,425.50,11.75,20.00,4999.66,999.96,5999.62,2024-04-02,2
