Date, Name , Memo , Barclays 53895114 ,,,,,,,,,,,,,,,,,,,,,,,
27-Mar-23,CAPITAL PROTECTIONS LTD,CAPITAL PROTECTION    PAYMENT BBP, 108.00 ,,,,,,,,,,,,,,,,,,,,,,,
28-Apr-23,CAPITAL PROTECTIONS LTD,CAPITAL PROTECTION    PAYMENT BBP," 1,622.82 ",,,,,,,,,,,,,,,,,,,,,,,
28-Nov-22,COMPLIANCE SECURITY SERVICES LTD,COMPLIANCE SECURIT    AS INVOICED BBP," 29,409.60 ",,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,COMPLIANCE SECURITY SERVICES LTD,COMPLIANCE SECURIT    AS INVOICED BBP," 14,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,COMPLIANCE SECURITY SERVICES LTD,COMPLIANCE SECURIT    AS INVOICED BBP," 8,469.57 ",,,,,,,,,,,,,,,,,,,,,,,
1-Mar-23,COMPLIANCE SECURITY SERVICES LTD,COMPLIANCE SECURIT    AS INVOICED BBP," 24,774.44 ",,,,,,,,,,,,,,,,,,,,,,,
4-Aug-21,DELTA FORCE GROUP LTD,DELTA FACILITIES M    INVOICE            FT ," 8,520.80 ",,,,,,,,,,,,,,,,,,,,,,,
4-Aug-21,DELTA FORCE GROUP LTD,DELTA FACILITIES M    INVOICE            BBP," 2,450.50 ",,,,,,,,,,,,,,,,,,,,,,,
11-Aug-21,DELTA FORCE GROUP LTD,DELTA FACILITIES M    INVOICE            FT ," 12,500.00 ",,,,,,,,,,,,,,,,,,,,,,,
25-May-22,DELTA FORCE GROUP LTD,DELTA FORCE GROUP     AS INVOICED BBP," 4,560.00 ",,,,,,,,,,,,,,,,,,,,,,,
31-May-22,DELTA FORCE GROUP LTD,DELTA FORCE GROUP     AS INVOICED BBP," 8,550.00 ",,,,,,,,,,,,,,,,,,,,,,,
7-Jun-22,DELTA FORCE GROUP LTD,DELTA FORCE GROUP     AS INVOICED FT," 20,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
13-Oct-22,DELTA FORCE GROUP LTD,DELTA FORCE GROUP     AS INVOICED FT," 12,798.00 ",,,,,,,,,,,,,,,,,,,,,,,
17-Oct-22,DELTA FORCE GROUP LTD,DELTA FORCE GROUP     AS INVOICED FT," 12,798.00 ",,,,,,,,,,,,,,,,,,,,,,,
17-Oct-22,DELTA FORCE GROUP LTD,DELTA FORCE GROUP     AS INVOICED FT," 17,550.96 ",,,,,,,,,,,,,,,,,,,,,,,
25-Jan-23,DELTA FORCE GROUP LTD,DELTA FORCE GROUP     AS INVOICED BBP," 11,114.40 ",,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,DPM SECURITY MANAGEMENT LTD,DPM SECURITY MANAG    AS PER INVIOCE BBP," 7,500.00 ",,,,,,,,,,,,,,,,,,,,,,,
27-Jan-23,DPM SECURITY MANAGEMENT LTD,DPM SECURITY MANAG    AS PER INVIOCE BBP," 12,000.00 ",,,,,,,,,,,,,,,,,,,,,,,
1-Mar-23,DPM SECURITY MANAGEMENT LTD,DPM SECURITY MANAG    AS PER INVIOCE BBP," 4,500.00 ",,,,,,,,,,,,,,,,,,,,,,,
